year,state_po,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2010,ND,52955,181689,238534,238812,52955,181689,238812,53,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,NH,167545,273218,454710,455149,167545,273218,455149,10,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,NV,362785,321361,721404,721404,362785,321361,721404,17,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,NY,3047880,1480423,4595515,4596796,3047880,1480423,4596796,62,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,OH,1503297,2168742,3815098,3815098,1503297,2168742,3815098,88,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,OK,265814,718482,1017151,1017151,265814,718482,1017151,77,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,OR,825507,566199,1441140,1442588,825507,566199,1442588,36,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,PA,1948716,2028945,3977661,3977661,1948716,2028945,3977661,67,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,SC,364598,810771,1296841,1318794,364598,810771,1318794,46,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,SD,0,227947,227947,227947,0,227947,227947,66,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,UT,207685,390179,633829,633829,207685,390179,633829,29,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,VT,154825,72699,235065,235178,151281,72699,235178,14,-0.022890360083965767,0,0,BAD (>=2%),ok (<0.05%),ok (<0.05%)
2010,WA,1314930,1196164,2511094,2511094,1314930,1196164,2511094,39,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2010,WI,1020958,1125999,2170693,2171331,1020958,1125999,2171331,72,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,AZ,1036542,1104457,2243422,2243422,1036542,1104457,2243422,15,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,CA,7864624,4713887,12578511,12578511,7864624,4713887,12578511,58,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,CT,828761,651089,1511764,1511764,828761,651089,1504895,8,0,0,-0.004543698619625815,ok (<0.05%),ok (<0.05%),small (<0.5%)
2012,DE,265415,115700,399607,399607,265415,115700,399607,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,FL,4523451,3458267,8189946,8189946,4523451,3458267,8189946,67,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,IN,1281181,1133621,2560102,2560102,1281181,1133621,2560102,92,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,MA,1696346,1458048,3156553,3156553,1696346,1458048,3156553,14,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,MD,1474239,693291,2630869,2633215,1474028,693291,2633234,24,-1.43124690094347e-4,0,7.2155141148747825e-6,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,ME,92900,215399,700599,700599,369061,214812,605490,16,2.972669537136706,-0.0027251751400888583,-0.13575383350532902,BAD (>=2%),small (<0.5%),BAD (>=2%)
2012,MI,2735826,1767386,4652918,4652918,2735826,1767386,4652918,83,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,MN,1854595,867974,2840639,2843207,1854595,867974,2843207,87,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,MO,1494125,1066159,2725793,2725793,1384027,1045499,2590220,115,-0.07368727516104744,-0.019377972703883754,-0.04973708568478971,BAD (>=2%),check (0.5-2%),BAD (>=2%)
2012,MS,503467,709626,1241568,1241568,503467,709626,1241568,82,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,MT,236123,218051,486066,486066,236123,218051,486066,56,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,ND,161163,158282,319445,320851,161163,158282,320851,53,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,NE,332979,455593,788572,788572,332979,455593,788572,93,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,NJ,1985783,1329405,3374668,3374668,1985783,1329405,3374668,21,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,NM,395717,351260,775793,775793,395717,351259,775792,33,0,-2.8468940386038832e-6,-1.2890036388572724e-6,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,NV,446080,457656,997805,997805,446080,457656,997805,17,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,NY,4822330,1758702,6677666,6679678,4822330,1758702,6679678,62,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,OH,2762766,2435744,5449127,5449127,2762757,2435740,5449114,88,-3.257604878589066e-6,-1.6422087050199036e-6,-2.385703251181336e-6,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,PA,3021364,2606058,5627422,5629491,3021364,2509132,5627422,67,0,-0.03719257207629301,-3.67528787238491e-4,ok (<0.05%),BAD (>=2%),ok (<0.05%)
2012,RI,271034,146222,417300,418189,270791,146176,417899,5,-8.965664824339382e-4,-3.1459014375401787e-4,-6.934663513387488e-4,small (<0.5%),ok (<0.05%),small (<0.5%)
2012,TN,706118,1506443,2321477,2321477,705882,1506443,2321477,95,-3.3422175896946404e-4,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,TX,3194927,4440137,7864822,7864822,3194927,4440137,7864822,254,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,UT,301873,657608,1006901,1006901,301873,657608,1006901,29,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,VA,2010067,1785542,3795609,3802196,2010067,1785542,3802196,134,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,VT,207848,72898,292510,292762,209053,73198,294267,14,0.005797505869673992,0.004115339241131444,0.005140694489038878,check (0.5-2%),small (<0.5%),check (0.5-2%)
2012,WA,1855493,1213924,3069417,3069417,1855493,1213924,3069417,39,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,WI,1547104,1380126,3006038,3009411,1547104,1380126,3009411,72,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,WV,399898,240787,660202,660202,399908,240787,660212,55,2.500637662603964e-5,0,1.5146879288460199e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2012,WY,53019,185250,244445,244862,53019,185250,244862,23,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,AL,0,795606,795606,818090,0,795606,818090,67,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,AR,334174,478819,847505,847505,334174,478819,847505,75,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,CO,944203,983891,2041058,2041058,944203,983891,2041058,64,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,DE,130655,98823,234038,234038,130655,98823,234038,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,GA,1160811,1358088,2567805,2567805,1160811,1358088,2567805,159,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,IA,494370,588575,1128589,1129700,494370,588575,1129700,99,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,ID,151574,285596,437170,437170,151574,285596,437170,44,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,IL,1929637,1538522,3603519,3603519,1929637,1538522,3603519,102,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,KS,0,460350,866191,866191,0,460350,866191,105,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,KY,584698,806787,1435868,1435868,584698,806787,1435868,120,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,LA,561210,712379,1273589,1273589,561210,712379,1273589,64,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,MA,1289944,791950,2084972,2084972,1289944,791950,2084972,14,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,ME,190244,413495,603739,604008,189820,413070,603157,16,-0.0022287168057862536,-0.0010278237947254501,-0.0014089217361359452,small (<0.5%),small (<0.5%),small (<0.5%)
2014,MI,1704936,1290199,3121775,3121775,1704936,1290199,3121775,83,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,MN,1053205,850227,1980647,1981528,1053205,850227,1981528,87,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,MS,239439,378481,631858,631858,239439,378481,631858,82,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,MT,148184,213709,369826,369826,148184,213709,369826,56,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,NC,1377651,1423259,2910974,2915281,1377651,1423259,2915281,100,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,NE,170127,347636,539891,540337,170127,347636,540337,93,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,NH,251184,235347,486531,488159,251184,235347,488159,10,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,NJ,1043866,791297,1869535,1869535,1043866,791297,1869535,21,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,NM,286409,229097,515506,515506,286409,229097,515506,33,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,OK,234307,558166,820733,820733,234307,558166,820733,77,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,OR,814537,538847,1454946,1461618,814537,538847,1461618,36,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,RI,223675,92684,316367,316898,223654,92683,316876,5,-9.388621884430535e-5,-1.0789348754909154e-5,-6.942296890482111e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,SC,480933,672941,1235301,1240075,480933,672941,1240075,46,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,SD,82456,140741,279412,279412,82456,140741,279412,66,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,TN,437848,850092,1374065,1374065,437848,850087,1366628,95,0,-5.881716331879373e-6,-0.0054124077099700525,ok (<0.05%),ok (<0.05%),check (0.5-2%)
2014,TX,1597387,2861531,4648358,4648358,1597387,2861531,4648358,254,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,VA,1073667,1055940,2182709,2184473,1073667,1055940,2184473,133,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,WV,156360,281820,453689,453689,156360,281820,453659,55,0,0,-6.612459195616381e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2014,WY,29377,121554,167919,168390,29377,121554,168390,23,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2016,AL,748709,1335104,2083813,2087444,747051,1334131,2084436,67,-0.002214478522363161,-7.287821772685873e-4,-0.0014409967405113622,small (<0.5%),small (<0.5%),small (<0.5%)
2016,AR,400602,661984,1107522,1107522,400590,661984,1107491,75,-2.99549178486378e-5,0,-2.7990414637361607e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
