year,state_po,check,official,ours,diff,rel,n_counties,status
2012,CO,state_total,2569522,2569217,-305,-1.1869911991413188e-4,64,ok (<0.05%)
2012,CT,state_total,1558960,1557885,-1075,-6.895622722840868e-4,8,small (<0.5%)
2012,DE,state_total,413921,413937,16,3.865471913722667e-5,3,ok (<0.05%)
2012,FL,state_total,8474179,8474179,0,0,67,ok (<0.05%)
2012,GA,state_total,3900050,3900050,0,0,159,ok (<0.05%)
2012,ID,state_total,652274,652274,0,0,44,ok (<0.05%)
2012,IL,state_total,5242014,5241891,-123,-2.346426392604064e-5,102,ok (<0.05%)
2012,IN,state_total,2624534,2624534,0,0,92,ok (<0.05%)
2012,IA,state_total,1582180,1582180,0,0,99,ok (<0.05%)
2012,KS,state_total,1159971,1156254,-3717,-0.003204390454588951,105,small (<0.5%)
2012,KY,state_total,1797212,1797212,0,0,120,ok (<0.05%)
2012,LA,state_total,1994065,1994065,0,0,64,ok (<0.05%)
2012,ME,state_total,713180,710126,-3054,-0.004282228890322219,16,small (<0.5%)
2012,MD,state_total,2707327,2707327,0,0,24,ok (<0.05%)
2012,MA,state_total,3167767,3167767,0,0,14,ok (<0.05%)
2012,MI,state_total,4730961,4730961,0,0,83,ok (<0.05%)
2012,MN,state_total,2936561,2936561,0,0,87,ok (<0.05%)
2012,MS,state_total,1285584,1285584,0,0,82,ok (<0.05%)
2012,MO,state_total,2757323,2757312,-11,-3.989376652644612e-6,116,ok (<0.05%)
2012,MT,state_total,484048,483932,-116,-2.3964565497636598e-4,56,ok (<0.05%)
2012,NE,state_total,794379,794379,0,0,93,ok (<0.05%)
2012,NV,state_total,1014918,1014918,0,0,17,ok (<0.05%)
2012,NH,state_total,710972,710931,-41,-5.766753121079311e-5,10,ok (<0.05%)
2012,NJ,state_total,3640292,3640292,0,0,21,ok (<0.05%)
2012,NM,state_total,783758,783758,0,0,33,ok (<0.05%)
2012,NY,state_total,7081159,7061925,-19234,-0.0027162220195874713,62,small (<0.5%)
2012,NC,state_total,4505372,4505372,0,0,100,ok (<0.05%)
2012,ND,state_total,322627,322932,305,9.453641511714767e-4,53,small (<0.5%)
2012,OH,state_total,5580847,5580822,-25,-4.479606769366729e-6,88,ok (<0.05%)
2012,OK,state_total,1334872,1334872,0,0,77,ok (<0.05%)
2012,OR,state_total,1789270,1789270,0,0,36,ok (<0.05%)
2012,PA,state_total,5753670,5742040,-11630,-0.0020213185671058647,67,small (<0.5%)
2012,RI,state_total,446049,445719,-330,-7.398290322363686e-4,5,small (<0.5%)
2012,SC,state_total,1964118,1964118,0,0,46,ok (<0.05%)
