year,state_po,district,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2004,CA,48,93525,189004,290872,290872,93525,189004,290872,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,49,79057,141658,226466,226466,79057,141658,226466,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,50,105590,169025,289328,289328,105590,169025,289328,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,51,111441,63526,180879,180879,111441,63526,180879,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,52,74857,187799,271438,271438,74857,187799,271438,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,53,146449,63897,221436,221436,146449,63897,221436,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,01,177077,58659,240929,240929,177077,58659,240929,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,02,207900,94160,309364,309364,207900,94160,309364,10,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,03,153500,141376,303646,303646,153500,141376,303646,29,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,04,136812,155958,305509,305509,136812,155958,305509,18,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,05,74098,193333,274058,274058,74117,193352,274100,6,2.5641717725174767e-4,9.827603151039915e-5,1.5325223127951018e-4,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,06,139870,212778,357741,357741,139893,212805,357793,5,1.644384070923e-4,1.2689281786650876e-4,1.4535655683860671e-4,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,07,106026,135571,247764,247764,106026,135571,247764,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CT,01,198802,73601,272403,272403,198802,73601,272403,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CT,02,140536,166412,307078,307078,140536,166412,306948,6,0,0,-4.233452087091879e-4,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CT,03,200638,69160,276980,276980,200638,69160,276980,3,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CT,04,138333,152493,290830,290830,138333,152493,290826,2,0,0,-1.375373929787161e-5,ok (<0.05%),ok (<0.05%),ok (<0.05%)
