year,state_fips,po,district,kind,candidate,party_group,votes,new,method,evidence
1990,6,CA,26,placeholder,Republican Candidate,REP,44492,Roy Dahlson,vote_total,wikipedia votes 44492
1990,6,CA,27,placeholder,Democratic Candidate,DEM,90857,Mel Levine,vote_total,wikipedia votes 90857
1990,6,CA,27,placeholder,Other Candidate 1,OTHER,7101,Edward E. Ferrer,vote_total,wikipedia votes 7101
1990,6,CA,27,placeholder,Republican Candidate,REP,58140,David Barrett Cohen,vote_total,wikipedia votes 58140
1990,6,CA,28,placeholder,Democratic Candidate,DEM,69482,Julian C. Dixon,vote_total,wikipedia votes 69482
1990,6,CA,28,placeholder,Other Candidate 2,OTHER,4873,"William R. Williams II / Robert G. ""Bob"" Weber Jr.",pooled_minor_sum,sum of 2 wikipedia candidates = 4873
1990,6,CA,28,placeholder,Republican Candidate,REP,21245,George Zaldivar Adams,vote_total,wikipedia votes 21245
1990,6,CA,29,placeholder,Democratic Candidate,DEM,51350,Maxine Waters,vote_total,wikipedia votes 51350
1990,6,CA,29,placeholder,Other Candidate 1,OTHER,1268,Waheed R. Boctor,vote_total,wikipedia votes 1268
1990,6,CA,29,placeholder,Republican Candidate,REP,12054,Bill DeWitt,vote_total,wikipedia votes 12054
1990,6,CA,30,placeholder,Democratic Candidate,DEM,45456,Matthew G. Martinez,vote_total,wikipedia votes 45456
1990,6,CA,30,placeholder,Other Candidate 1,OTHER,3713,George Curtis Feger,vote_total,wikipedia votes 3713
1990,6,CA,30,placeholder,Republican Candidate,REP,28914,Reuben D. Franco,vote_total,wikipedia votes 28914
1990,6,CA,31,placeholder,Democratic Candidate,DEM,56394,Mervyn M. Dymally,vote_total,wikipedia votes 56394
1990,6,CA,31,placeholder,Republican Candidate,REP,27593,Eunice N. Sato,vote_total,wikipedia votes 27593
1990,6,CA,32,placeholder,Democratic Candidate,DEM,68268,Glenn M. Anderson,vote_total,wikipedia votes 68268
1990,6,CA,32,placeholder,Republican Candidate,REP,42692,Sanford W. Kahn,vote_total,wikipedia votes 42692
1990,6,CA,33,placeholder,Democratic Candidate,DEM,49981,Georgia Houston Webb,vote_total,wikipedia votes 49981
1990,6,CA,33,placeholder,Other Candidate 1,OTHER,7840,Gail Lightfoot,vote_total,wikipedia votes 7840
1990,6,CA,33,placeholder,Republican Candidate,REP,101336,David Dreier,vote_total,wikipedia votes 101336
1990,6,CA,34,placeholder,Democratic Candidate,DEM,55646,Esteban Torres,vote_total,wikipedia votes 55646
1990,6,CA,34,placeholder,Republican Candidate,REP,36024,John Eastman,vote_total,wikipedia votes 36024
1990,6,CA,35,placeholder,Democratic Candidate,DEM,66100,Barry Borton,vote_total,wikipedia votes 66100
1990,6,CA,35,placeholder,Other Candidate 1,OTHER,13020,Jerry Johnson,vote_total,wikipedia votes 13020
1990,6,CA,35,placeholder,Republican Candidate,REP,121602,Jerry Lewis,vote_total,wikipedia votes 121602
1990,6,CA,36,placeholder,Democratic Candidate,DEM,72409,"George Brown, Jr.",vote_total,wikipedia votes 72409
1990,6,CA,36,placeholder,Republican Candidate,REP,64961,Bob Hammock,vote_total,wikipedia votes 64961
1990,6,CA,37,placeholder,Democratic Candidate,DEM,103961,Ralph Waite,vote_total,wikipedia votes 103961
1990,6,CA,37,placeholder,Other Candidate 1,OTHER,12652,Gary R. Odom / Bonnie Flickinger,pooled_minor_sum,sum of 2 wikipedia candidates = 12652
1990,6,CA,37,placeholder,Republican Candidate,REP,115469,Al McCandless,vote_total,wikipedia votes 115469
1990,6,CA,38,placeholder,Democratic Candidate,DEM,43693,Barbara Jackson,vote_total,wikipedia votes 43693
1990,6,CA,38,placeholder,Republican Candidate,REP,60561,Bob Dornan,vote_total,wikipedia votes 60561
1990,6,CA,39,placeholder,Democratic Candidate,DEM,53670,"Francis X. ""Frank"" Hoffman",vote_total,wikipedia votes 53670
1990,6,CA,39,placeholder,Other Candidate 1,OTHER,6709,Maxine Bell Quirk,vote_total,wikipedia votes 6709
1990,6,CA,39,placeholder,Republican Candidate,REP,113849,William E. Dannemeyer,vote_total,wikipedia votes 113849
1990,6,CA,40,placeholder,Democratic Candidate,DEM,68087,Eugene Gratz,vote_total,wikipedia votes 68087
1990,6,CA,40,placeholder,Republican Candidate,REP,142299,Christopher Cox,vote_total,wikipedia votes 142299
1990,6,CA,41,placeholder,Democratic Candidate,DEM,93586,"Daniel F. ""Dan"" Kripke",vote_total,wikipedia votes 93586
1990,6,CA,41,placeholder,Other Candidate 1,OTHER,15428,Karen S.R. Works,vote_total,wikipedia votes 15428
1990,6,CA,41,placeholder,Republican Candidate,REP,105723,Bill Lowery,vote_total,wikipedia votes 105723
1990,6,CA,42,placeholder,Democratic Candidate,DEM,67189,Guy C. Kimbrough,vote_total,wikipedia votes 67189
1990,6,CA,42,placeholder,Other Candidate 1,OTHER,7744,Richard Gibb Martin,vote_total,wikipedia votes 7744
1990,6,CA,42,placeholder,Republican Candidate,REP,109353,Dana Rohrabacher,vote_total,wikipedia votes 109353
1990,6,CA,43,placeholder,Democratic Candidate,DEM,0,NA,unmatched,NA
1990,6,CA,43,placeholder,Other Candidate 2,OTHER,70932,"Doug Hansen / Richard L. ""Rick"" Arnold",pooled_minor_sum,sum of 2 wikipedia candidates = 70932
1990,6,CA,43,placeholder,Republican Candidate,REP,151206,Ron Packard,vote_total,wikipedia votes 151206
1990,6,CA,44,placeholder,Democratic Candidate,DEM,48712,Jim Bates,vote_total,wikipedia votes 48712
1990,6,CA,44,placeholder,Other Candidate 2,OTHER,9622,Donna White / John Wallner,pooled_minor_sum,sum of 2 wikipedia candidates = 9622
1990,6,CA,44,placeholder,Republican Candidate,REP,50377,Duke Cunningham,vote_total,wikipedia votes 50377
1990,6,CA,45,placeholder,Democratic Candidate,DEM,0,NA,unmatched,NA
1990,6,CA,45,placeholder,Other Candidate 1,OTHER,46068,Joe Shea,vote_total,wikipedia votes 46068
1990,6,CA,45,placeholder,Republican Candidate,REP,123591,Duncan Hunter,vote_total,wikipedia votes 123591
1990,23,ME,01,surname,Andrews,DEM,167623,Thomas Andrews,surname,wikipedia party Democratic
1990,23,ME,01,surname,Emery,REP,110836,David F. Emery,surname,wikipedia party Republican
1990,23,ME,02,surname,McGowan,DEM,116798,Patrick K. McGowan,surname,wikipedia party Democratic
1990,23,ME,02,surname,Snowe,REP,121704,Olympia Snowe,surname,wikipedia party Republican
1992,6,CA,01,placeholder,Democratic Candidate,DEM,119656,Dan Hamburg,party_D_R,wikipedia votes 119676 vs ours 119656
1992,6,CA,01,placeholder,Other Candidate 2,OTHER,18264,Phil Baldwin / Matthew L. Howard,pooled_minor_sum,sum of 2 wikipedia candidates = 18264
1992,6,CA,01,placeholder,Republican Candidate,REP,113266,Frank Riggs,vote_total,wikipedia votes 113266
1992,6,CA,02,placeholder,Democratic Candidate,DEM,71780,Elliot Roy Freedman,vote_total,wikipedia votes 71780
1992,6,CA,02,placeholder,Other Candidate 1,OTHER,17529,"Harry H. ""Doc"" Pendery",vote_total,wikipedia votes 17529
1992,6,CA,02,placeholder,Republican Candidate,REP,167247,Wally Herger,vote_total,wikipedia votes 167247
1992,6,CA,03,placeholder,Democratic Candidate,DEM,122149,Vic Fazio,party_D_R,wikipedia votes 112149 vs ours 122149
1992,6,CA,03,placeholder,Other Candidate 1,OTHER,20444,Ross Crain,vote_total,wikipedia votes 20444
1992,6,CA,03,placeholder,Republican Candidate,REP,96092,H. L. Richardson,vote_total,wikipedia votes 96092
1992,6,CA,04,placeholder,Democratic Candidate,DEM,129489,Patricia Malberg,vote_total,wikipedia votes 129489
1992,6,CA,04,placeholder,Other Candidate 1,OTHER,12721,Patrick Lee McHargue / Don Brooksher,pooled_minor_sum,sum of 2 wikipedia candidates = 12721
1992,6,CA,04,placeholder,Republican Candidate,REP,141155,John Doolittle,vote_total,wikipedia votes 141155
