state,cd,year,total_vote,rep_vote,rep_candidate,dem_vote,dem_candidate,other_vote,plurality_vote,plurality_party,source_volume,confidence
CALIFORNIA,42,2014,43.0,2014.0,"WOOD JR, JOHN",98202.0,"WATERS, MAXINE*",,,,31,low
CALIFORNIA,42,2012,43.0,2012.0,"WATERS, MAXINE*",200894.0,,,,,31,low
CALIFORNIA,43,2014,44.0,2014.0,"HAHN, JANICE*",68862.0,,,,,31,low
CALIFORNIA,43,2012,44.0,2012.0,"HAHN, JANICE",165898.0,,,,,31,low
CALIFORNIA,44,2014,45.0,2014.0,"WALTERS, MIMI",162902.0,"LEAVENS, DREW",,,,31,low
CALIFORNIA,44,2012,45.0,2012.0,"CAMPBELL, JOHN*",293231.0,"KANG, SUKHEE",,,,31,low
CALIFORNIA,45,2014,46.0,2014.0,"NICK, ADAM",83315.0,"SANCHEZ, LORETTA*",,,,31,low
CALIFORNIA,45,2012,46.0,2012.0,"HAYDEN, JERRY",149815.0,"SANCHEZ, LORETTA*",,,,31,low
CALIFORNIA,46,2014,47.0,2014.0,"WHALLON, ANDY",123400.0,"LOWENTHAL, ALAN S.*",,,,31,low
CALIFORNIA,46,2012,47.0,2012.0,"DELONG, GARY",230012.0,"LOWENTHAL, ALAN S.",,,,31,low
CALIFORNIA,47,2014,48.0,2014.0,"ROHRABACHER, DANA*",174795.0,"SAVARY, SUE",,,,31,low
CALIFORNIA,47,2012,48.0,2012.0,"ROHRABACHER, DANA*",290502.0,"VARASTEH, RON",,,,31,low
CALIFORNIA,48,2014,49.0,2014.0,"ISSA, DARRELL E.*",163142.0,"PEISER, DAVE",,,,31,low
CALIFORNIA,48,2012,49.0,2012.0,"ISSA, DARRELL E.*",274618.0,"TETALMAN, JERRY",,,,31,low
CALIFORNIA,49,2014,50.0,2014.0,"HUNTER, DUNCAN D.*",157299.0,"KIMBER, JAMES H.",,,,31,low
CALIFORNIA,49,2012,50.0,2012.0,"HUNTER, DUNCAN D.*",258293.0,"SECOR, DAVID B.",,,,31,low
CALIFORNIA,50,2014,51.0,2014.0,"MEADE, STEPHEN",81950.0,"VARGAS, JUAN*",,,,31,low
CALIFORNIA,50,2012,51.0,2012.0,"CRIMMINS, MICHAEL",159398.0,"VARGAS, JUAN",,,,31,low
CALIFORNIA,51,2014,52.0,2014.0,"DEMAIO, CARL",191572.0,"PETERS, SCOTT H.*",,,,31,low
CALIFORNIA,51,2012,52.0,2012.0,"BILBRAY, BRIAN P.*",295910.0,"PETERS, SCOTT H.",,,,31,low
CALIFORNIA,52,2014,53.0,2014.0,"* WILSKE, LARRY",148044.0,"DAVIS, SUSAN A.*",,,,31,low
CALIFORNIA,52,2012,53.0,2012.0,"POPADITCH, NICK",268307.0,"DAVIS, SUSAN A.*",,,,31,low
COLORADO,1,2014,2014.0,278494.0,"WALSH, MARTIN H.",80682.0,"DEGETTE, DIANA*",,102599.0,D,31,low
COLORADO,1,2012,2012.0,348.0,".     STROUD, DANNY",228.0,"DEGETTE, DIANA*",,144362.0,D,31,low
